Uuid,Answers,Members,Fully specified name:en,Short name:en,Data class,Data type,_version:1,_order:7
fa80f70e-806d-4bd6-aa8e-ec1c1a095724,Self referral or presentation ; Brought by family ; Referral by other healthcare facility ; Good Samaritan referral ; Other source of referral (Specify),,Source of referral,,Question,Coded,,
b30ab4c6-5f19-4557-8280-6ae9eccc7c36,"Jaundice present ; Nutrition Status Pallor ; Headache ; Dizziness ; Fever ; Cyanosis ; Weight loss ; Obesity ; Lymph Node Enlarged ; Add general clinical features/details , Specify",,General symptoms and signs,,Question,Coded,,
0fc88b7e-55a6-4064-9a3e-e9eba6379ccd,"Orthopnea ; Chest Pain ; Dyspnea ; Dyspnoea on effort ; Palpitations ; Tachycardia, paroxysmal SVT ; Bradycardia ; Paroxysmal Nocturnal Dyspnoea ; Hemoptysis ; Intermittent claudication ; Cold extremetes ; Varicose Veins (Varicose veins of lower extremities) ; Hypertension ; Hypotension, orthostatic ; Heart Murmur ; Gallop rhythm ; Rhonchi ; Crepitations ; Pulmonary edema, acute ; Add cardiovascular system features/details",,Cardiovascular symptoms and signs,,Question,Coded,,
dad27b9d-6ab1-4dfb-b8a4-9682dd61805e,Cough ; Chest Pain ; Greenish or brownish or brownish sputum ; Tachypnoea ; Wheezing ; Intercostal Recession ; Deviated trachea ; DULLNESS TO PERCUSSION ; Percussion note stony dull ; Rhonchi ; Crepitations ; Air entry reduced (specify zone) ; Add respiratory system features/details Specify,,Respiratory symptoms and signs,,Question,Coded,,
f4946302-f686-44cd-a5cd-429ded1f6a6f,"Anorexia ; Nausea, alone ; Vomiting ; Diarrhoea ; Weight loss ; Dysphagia ; Pain worse after food ; Pain worse on hunger ; Pain worse on hunger ; Pain wakes patient at dawn ; Constipation ; Changed bowel habits ; Bloody stools ; Mucoid stools ; Pale bulky stools ; Fresh Blood Passed Per Rectum ; Tenderness in abdomen ; Guarding of the Abdomen-Involuntary ; rebound tenderness, abdomen ; No abdominal masses palpable  ; Hepatomegaly ; Splenomegaly ; Palpable gall bladder ; Abdominal Lump ; Add gastrointestinal system features/details Specify",,Gastrointestinal symptoms and signs,,Question,Coded,,
f8c8de16-1d09-4333-a9dc-92b3b21c0556,"Vaginal / Penile Discharge ; Hematuria, unspec. ; Suprapubic pain ; Suprapubic mass ; Loin pain ; urgency of micturition ; Poor urinary stream ; Dribbling of Urine ; Renal angle tenderness ; Add GU system features/details, Specify",,"Genito-urinary and urological symptoms and signs ",,Question,Coded,,
ad3fab55-14ba-4dcc-b1c7-08c7df5406a8,"Vaginal / Penile Discharge ; Amenorrhea ; Irregular menstrual cycle ; Metrorrhagia ; history of menorrhagia ; Menstruation, painful ; Dyspareunia ; Waist pains ; Vaginal bleeding ; Dysuria ; Tender vaginal examination ; Adnexal Tenderness  ; Tenderness in R/L iliac fossa ; Positive cervical excitation ; Add Gyn/Obs clinical features/details , Specify",,Gynaecological and Obstetric symptoms and signs,,Question,Coded,,
10e4fff7-8126-4352-9afe-381fb21f014f,"Joint Pain ; Stiffness ; Joint Swelling ; Acquired deformity, limb, unspec. ; Pain worse in morning ; Muscle weakness/stiffness ; Low backache ; Stiff neck ; Parasthesias ; Sciatia ; Acquired deformity of spine ; Joint Crepitus ; Joint fluid ; Add musculoskeletal system features/details,  Specify",,Musculoskeletal symptoms and signs,,Question,Coded,,
8e9079cd-003b-4db7-b2ee-00f036e2a036,"Blurred Vision ; Hemianopia  ; Tinnitus ; Vertigo, central ; Muscle Hypertonia  ; Hemiplegia and hemiparesis ; Partial / total loss of sensation ; Cognitive impairment, mild ; Dyslexia ; Dysgraphia ; Impaired alertness ; Changes in personality ; Expressive (Broca's) aphasia ; Sensory (Wernicke's) aphasia ; Astereognosis ; Dyscalculia ; Anterograde amnesia ; Retrograde amnesia ; Cerebellar ataxia ; Temporal lobe epilepsy ; Focal Epilepsy ; Generalized / Tonic – Clonic ; Add neurological features/details, Specify",,"Neurological symptoms and signs ",,Question,Coded,,
0f916085-e2c8-4944-89e6-273945e7fdc9,,"Source of referral ; Specify other source of referral ;  Chief Complaint Data ; Chief Complaint Notes ; History Notes ; General symptoms and signs ; Please add more general clinical features/details ; Cardiovascular symptoms and signs ; Please add more cardiovascular system features/details ;  Respiratory symptoms and signs ; Please add more respiratory system features/details ; Gastrointestinal symptoms and signs ; Specify Other gastrointestinal system features/details ; Genito-urinary and urological symptoms and signs  ; Please add more GU system features/details ; Gynaecological and Obstetric symptoms and signs ; Specify other  Gyn/Obs clinical features/details ;  Musculoskeletal symptoms and signs ; Specify Other musculoskeletal system features/details ;  Neurological symptoms and signs ; Please Specify other  neurological features/details ;   Examination Notes ; Consultation Images ;Patient Video ",Additional Medical History And Examination,,Misc,N/A,,
