Uuid,Answers,Members,Fully specified name:en,Short name:en,Data class,Data type,_version:1,_order:5
0fcbfdf7-6a35-4a0a-ac48-5d13ad13c08b,Restless/ Irritable ; Offensive ; Well kempt and well groomed ; Suspicious or guarded ; Anxiety ; Perplexed ; Good rapport ; Restless legs syndrome ; Good eye contact ; Reacts to external stimuli ; Over-familiar ; Mask-like face ; Other Appearance and behaviour,,Appearance and behaviour,,Question,Coded,,
62511260-9d72-49ae-9a0e-8b6609d7f4e6,Catalepsy ; Psychological pillow ; Other abnormalities of posture,,Abnormal postures,,Question,Coded,,
d421be71-068e-4ba6-85b0-785353d2bfd4,Restless legs syndrome ; Muscle Rigidity ; Rubral Tremors ; Tardive Dyskinesia ; Hemiballismus ; Other abnormalities of body movements,,Abnormal body movements,,Question,Coded,,
5374c3d2-9c84-4208-9efd-7851917aea83,Flatenning of affect ; Restricted affect ; Incongruous affect ; Labile affect ; Reactive affect ; Other abnormalities of affect,,Abnormalities of Affect,,Question,Coded,,
75d38287-8f8e-4aba-a4cc-d9aadb8935c1,Anxiety ; Depression ; Normal mood ; Elevated mood ; Diurnal mood variation ; Delusional atmosphere ; Other abnormalities of mood,,Abnormalities of mood,,Question,Coded,,
a7b4c37c-4713-45ad-8bf4-836b1eeaed6b,"Pressured speech ; Retarded speech ; Normal speech ;  Word salad ; Stock phrases ; Verbigeration ; Echolalia ; Conversion Muteness ; Disorganised speech ; Other abnormalities of speech ",,Abnormalities of Speech,,Question,Coded,,
96cee684-16a7-4451-aa99-da4426a28230,Pseudohallucinations ; Elemental hallucination ; Imperative hallucinations ; Olfactory hallucination ; Functional hallucination ; Hypnagogic hallucinations ; Hypnapompic Hallucinations  ; Reflex hallucinations ; Third-person auditory hallucinations ; Lilliputian hallucination ; Extracampine hallucination ; Other abnormalities of perception,,Abnormalities of perception,,Question,Coded,,
a3d578d3-395f-4172-96ca-10bc9e9ec4eb,Schizophrenic thought disorder ; Thought blocking ; Derailment ; Other Abnormalities of thought,,Abnormalities of form (flow) of thought,,Question,Coded,,
8845b55c-3ed7-4bd6-b794-133f99dd8df7,Delusions of reference ; Persecutory delusions ; Grandiose delusions ; Delusional jealousy ; Nihilistic delusions ; Delusional perception ; Delusions of control ; Delusions of though interference ; Delusions of love ; Hypochondriacal delusions ; Delusions of guilt ; Othello syndrome ; Overvalued ideas ; Other abnormalities of content of thought,,Abnormalities of content of thought,,Question,Coded,,
7ca8ebc5-58ae-47b9-81b2-5890f8743d89,"Voices heard arguing ; Thought echo ; Running commentary ; Thought withdrawal ; Thought broadcasting ; Thought insertion ; Delusional perception ; Passivity of affect ; Passivity of impulse ; Passivity of volitions ; Somatic passivity ",,First-rank symptoms of schizophrenia,,Question,Coded,,
c474c61f-69f2-49c3-b08e-70f337abaf26,"No suicidal thoughts ; Minor self-harm ; Serious self-harm ; Suicidal gestures no intent ; Serious suicidal attempt ; Active suicidal plans ",,Suicidality and selfharm,,Question,Coded,,
421987cd-5285-4b25-b42a-fedb8713ebd3,No insight ; Partial insight ; Full insight,,Level of insight,,Question,Coded,,
1bec3caa-537a-4eb8-85ad-cfc7b7f71059,,Appearance and behaviour ; Other Appearance and behaviour(Specify) ; Abnormal postures ; Other abnormalities of posture(Specify) ; Abnormal body movements ; Other abnormalities of body movements(specify) ; Abnormalities of Affect ; Other abnormalities of affect (Specify) ; Abnormalities of mood ; Other abnormalities of mood specify ; Abnormalities of Speech ; Other abnormalities of speech specify ; Abnormalities of perception ; Other abnormalities of perception specify ; Abnormalities of form (flow) of thought ; Other abnormalities of form(flow) of thought Specify ;Abnormalities of content of thought ; Other Abnormalities of content of thought Specify ;  Does the patient believe that the abnormal experiences are symptoms? ; Does the patient believe that the symptoms are due to an illness? ; Does the patient believe that the illness is psychiatric? ; Does the patient believe that psychiatric treatment might be beneficial?,Mental State Examination,,Misc,N/A,,
