Uuid,Void/Retire,Fully specified name:en,Short name:en,Same as mappings,Description:en,...,_version:1,_order:120,Data class,Data type,Answers
7c6a4d57-23db-4bd2-b44c-1426decbae89,," Typhoid and paratyphoid fevers",[A01] Typhoid and paratyphoid fevers,ICD 10 - WHO:A01,,,,,Diagnosis,N/A,
11230891-8558-44f7-b091-67bb1c2261d9,," Other salmonella infections",[A02] Other salmonella infections,ICD 10 - WHO:A02,,,,,Diagnosis,N/A,
9a26c745-ffa1-4594-b3b6-eba93f9da1b2,," Shigellosis",[A03] Shigellosis,ICD 10 - WHO:A03,,,,,Diagnosis,N/A,
46f80362-6568-409a-9ab3-97c5b2f9b6f7,," Other bacterial intestinal infections",[A04] Other bacterial intestinal infections,ICD 10 - WHO:A04,,,,,Diagnosis,N/A,
f2b02c5f-b928-4c3e-8bb3-35ac27bea07f,," Other bacterial foodborne intoxications, not elsewhere classified","[A05] Other bacterial foodborne intoxications, not elsewhere classified",ICD 10 - WHO:A05,,,,,Diagnosis,N/A,
22110d8d-8064-44a3-b101-5fb634d02a36,," Other protozoal intestinal diseases",[A07] Other protozoal intestinal diseases,ICD 10 - WHO:A07,,,,,Diagnosis,N/A,
2147a31d-1322-49b6-99d1-a6124a6e34af,," Viral and other specified intestinal infections",[A08] Viral and other specified intestinal infections,ICD 10 - WHO:A08,,,,,Diagnosis,N/A,
46fbec69-ff12-4c91-b419-b8e480466921,," Infectious gastroenteritis and colitis, unspecified","[A09] Infectious gastroenteritis and colitis, unspecified",ICD 10 - WHO:A09,,,,,Diagnosis,N/A,
b2061f31-3aa4-4252-b056-e0b91c50256c,," Respiratory tuberculosis",[A15] Respiratory tuberculosis,ICD 10 - WHO:A15,,,,,Diagnosis,N/A,
ab6dc1aa-fb9a-4514-8356-eb3719f53b7f,," Tuberculosis of nervous system",[A17] Tuberculosis of nervous system,ICD 10 - WHO:A17,,,,,Diagnosis,N/A,
dc3e3807-49b1-46cd-973f-583d5b46126d,," Tuberculosis of other organs",[A18] Tuberculosis of other organs,ICD 10 - WHO:A18,,,,,Diagnosis,N/A,
fa23c862-4d60-478e-8664-98b5caa52af1,," Miliary tuberculosis",[A19] Miliary tuberculosis,ICD 10 - WHO:A19,,,,,Diagnosis,N/A,
81ca0095-bcd6-4577-8926-68efe5eaa27e,," Plague",[A20] Plague,ICD 10 - WHO:A20,,,,,Diagnosis,N/A,
f67133b2-e9d1-43cd-b80b-6db5d8e4216a,," Tularemia",[A21] Tularemia,ICD 10 - WHO:A21,,,,,Diagnosis,N/A,
0e9f8368-078f-4b87-8928-1303d6bd5b1c,," Anthrax",[A22] Anthrax,ICD 10 - WHO:A22,,,,,Diagnosis,N/A,
1dd561da-3133-4b1d-af9d-5ec29488497d,," Brucellosis",[A23] Brucellosis,ICD 10 - WHO:A23,,,,,Diagnosis,N/A,
28703d6c-653e-4abd-9397-747a2dd6f980,," Glanders and melioidosis",[A24] Glanders and melioidosis,ICD 10 - WHO:A24,,,,,Diagnosis,N/A,
a36c7cc9-1d76-47de-8c48-ff172cbd863e,," Rat-bite fevers",[A25] Rat-bite fevers,ICD 10 - WHO:A25,,,,,Diagnosis,N/A,
54f20710-0902-4f3e-96fa-dd7b95a4717c,," Erysipeloid",[A26] Erysipeloid,ICD 10 - WHO:A26,,,,,Diagnosis,N/A,
8e9b4dc7-138a-460c-8bad-85a68ad18542,," Leptospirosis",[A27] Leptospirosis,ICD 10 - WHO:A27,,,,,Diagnosis,N/A,
f3fd6d56-7cdb-45d5-82a9-8a81d2912e7f,," Leprosy [Hansen's disease]",[A30] Leprosy [Hansen's disease],ICD 10 - WHO:A30,,,,,Diagnosis,N/A,
0a73a057-bd15-40be-b687-50c28472c11e,," Infection due to other mycobacteria",[A31] Infection due to other mycobacteria,ICD 10 - WHO:A31,,,,,Diagnosis,N/A,
2113e0cb-2988-44e8-8dba-c64fb0085daf,," Listeriosis",[A32] Listeriosis,ICD 10 - WHO:A32,,,,,Diagnosis,N/A,
c44d4857-8ec7-4de8-9c5d-051cf53d3d4e,," Tetanus neonatorum",[A33] Tetanus neonatorum,ICD 10 - WHO:A33,,,,,Diagnosis,N/A,
d7e9a16f-f24e-4b2e-af5e-005dffcc385a,," Obstetrical tetanus",[A34] Obstetrical tetanus,ICD 10 - WHO:A34,,,,,Diagnosis,N/A,
f9ce9db8-e84f-4140-9d35-7a9c6cf14847,," Other tetanus",[A35] Other tetanus,ICD 10 - WHO:A35,,,,,Diagnosis,N/A,
8182f548-8adc-45e2-a273-21a0141a8689,," Diphtheria",[A36] Diphtheria,ICD 10 - WHO:A36,,,,,Diagnosis,N/A,
1d4040f2-1ced-4860-b37c-76b2f8f47955,," Whooping cough",[A37] Whooping cough,ICD 10 - WHO:A37,,,,,Diagnosis,N/A,
29443a5d-1344-418b-beed-d24cde151366,," Scarlet fever",[A38] Scarlet fever,ICD 10 - WHO:A38,,,,,Diagnosis,N/A,
52fd57f5-c39f-42fb-9d0f-67ceed8fe96b,," Meningococcal infection",[A39] Meningococcal infection,ICD 10 - WHO:A39,,,,,Diagnosis,N/A,
03c2457f-08e0-47b3-8224-42fd8eb59bcc,," Streptococcal sepsis",[A40] Streptococcal sepsis,ICD 10 - WHO:A40,,,,,Diagnosis,N/A,
1902267c-736f-4a41-9c0f-a557572eae0e,," Other sepsis",[A41] Other sepsis,ICD 10 - WHO:A41,,,,,Diagnosis,N/A,
8d4e73e2-192c-4922-be1f-5a6fee3af99d,," Actinomycosis",[A42] Actinomycosis,ICD 10 - WHO:A42,,,,,Diagnosis,N/A,
37bcc74c-e773-454d-a542-5c8e14a445cd,," Nocardiosis",[A43] Nocardiosis,ICD 10 - WHO:A43,,,,,Diagnosis,N/A,
b9bfe3c9-aae6-45cd-800f-06dd409de872,," Bartonellosis",[A44] Bartonellosis,ICD 10 - WHO:A44,,,,,Diagnosis,N/A,
c872af67-ca33-4761-9b3c-de5902c09932,," Erysipelas ","[A46] Erysipelas ",ICD 10 - WHO:A46,,,,,Diagnosis,N/A,
