Uuid,Void/Retire,Fully specified name:en,Short name:en,Same as mappings,Description:en,...,_version:1,_order:121,Data class,Data type,Answers
d70b2de2-eeea-4c5c-baaa-964d204556a4,,Acute  alcohol intoxication with trauma and/or other bodily injury,[F10.01] Acute  alcohol intoxication with trauma or other bodily injury,ICD 10 - WHO:F10.01,,,,,Diagnosis,N/A,
13b90e7b-364e-415a-8e0d-9c67d31cb99d,,Acute alcohol intoxication with other medical complications,[F10.02] Acute alcohol  intoxication with other medical complications,ICD 10 - WHO:F10.02,,,,,Diagnosis,N/A,
960acbbb-d897-4a09-926e-3854f2a32e4k,," Acute alcohol intoxication with delirium",[F10.03] Acute alcohol  intoxication with delirium,ICD 10 - WHO:F10.03,,,,,Diagnosis,N/A,
35f60284-ecd4-4372-8f78-5965e1329aaj,," Acute alcohol intoxication with perceptual distortions",[F10.04] Acute alcohol  intoxication with perceptual distortions,ICD 10 - WHO:F10.04,,,,,Diagnosis,N/A,
25249cc4-f814-4e60-a1ac-6e9efb569d44,," Acute alcohol intoxication with coma",[F10.05] Acute alcohol  intoxication with coma,ICD 10 - WHO:F10.05,,,,,Diagnosis,N/A,
eb9ea4d2-4698-450e-8ead-a1a7336ea04c,," Acute alcohol intoxication with convulsions",[F10.06] Acute alcohol  intoxication with convulsions,ICD 10 - WHO:F10.06,,,,,Diagnosis,N/A,
58499c1c-009d-4159-8657-5b9fcd646ffe,," Pathological alcohol  intoxication",[F10.07] Pathological alcohol  intoxication,ICD 10 - WHO:F10.07,,,,,Diagnosis,N/A,
1799e8fa-9240-41f9-882a-2dce0ef49021,," Harmful use of alcohol",[F10.1] Harmful use of alcohol,ICD 10 - WHO:F10.1,,,,,Diagnosis,N/A,
c4135339-b860-4f64-a046-c6b39e1534f4,," Alcohol dependence syndrome",[F10.2] Alcohol dependence syndrome,ICD 10 - WHO:F10.2,,c,,,Diagnosis,N/A,
aaab08b2-0f5c-4cb0-b84c-f432216f688b,," Alcohol dependence syndrome - Currently abstinent",[F10.20] Alcohol dependence syndrome - Currently abstinent,ICD 10 - WHO:F10.20,,,,,Diagnosis,N/A,
54a326c0-58aa-4362-b2ec-54bda29ecf21,," Alcohol dependence syndrome - Currently abstinent, but in a protected environment","[F10.21] Alcohol dependence syndrome - Currently abstinent, but in a protected environment",ICD 10 - WHO:F10.21,,,,,Diagnosis,N/A,
277d075e-1d19-4295-b34b-606d21136d50,," Controlled alcohol dependence - Currently on a clinically supervised maintenance or replacement regime ","[F10.22] Controlled alcohol dependence - Currently on a clinically supervised maintenance or replacement regime ",ICD 10 - WHO:F10.22,,,,,Diagnosis,N/A,
