Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:152,Data class,Data type,Answers
df65754a-ab28-401e-8071-ff9c16a80a8b,,"Clobetasone 15g ","Clobetasone 15g ",,,,,Misc,N/A,
62b91692-0641-45b1-9233-3c9609c6b6a8,,"Paracetamol 500mg ","Paracetamol 500mg ",,,,,Misc,N/A,
4750370f-ad8e-49c5-80d2-b2136f59c3e9,,"Paracetamol 120mg/5ml ","Paracetamol 120mg/5ml ",,,,,Misc,N/A,
0f43594e-251d-4814-97f8-2c17599fd0ae,,Salbutamol inhaler 100mcg,Salbutamol inhaler 100mcg,,,,,Misc,N/A,
f614b544-974a-4c51-bff2-ae720ddcfdce,,Chana  500mg,Chana  500mg,,,,,Misc,N/A,
7865874e-0095-41c4-8cc6-5dad56031ee0,,Chana  250mg,Chana  250mg,,,,,Misc,N/A,
72930208-b569-4453-9487-9b66d1c774ba,,"Albendazole 400mg ","Albendazole 400mg ",,,,,Misc,N/A,
90dd6302-9748-4460-a8f2-cd14e51b857b,,"Cytalon 100mg ","Cytalon 100mg ",,,,,Misc,N/A,
29654632-804b-462f-876c-2f6f211bb630,,"Ipratropium Bromide Respirator Solution 15ml ","Ipratropium Bromide Respirator Solution 15ml ",,,,,Misc,N/A,
256a72b2-55d3-422b-bf7b-4381c454cb9e,,"Pentazocine 1ml ","Pentazocine 1ml ",,,,,Misc,N/A,
cf490044-7fe0-4e5e-b113-cd9852f5b624,,"Aciclovir 200mg ","Aciclovir 200mg ",,,,,Misc,N/A,
17db93d5-45fc-48d2-9b38-cda8f5fc8b96,,"Aciclovir 250mg ","Aciclovir 250mg ",,,,,Misc,N/A,
bdc720ee-555f-43ed-a33e-4726a1e22132,,"Aciclovir 400mg ","Aciclovir 400mg ",,,,,Misc,N/A,
44819f0f-6e8a-4749-9771-11e8c3116608,,"Cephalexin 500mg ","Cephalexin 500mg ",,,,,Misc,N/A,
68bd82e4-ce62-4602-b53d-cf826061efbf,,"Cephalexin 250mg ","Cephalexin 250mg ",,,,,Misc,N/A,
0e5749f2-3a68-4db1-a57c-d17eed563abe,,Cephalexin 125mg/5ml,Cephalexin 125mg/5ml,,,,,Misc,N/A,
9642698a-23b8-40d1-b7f7-0c626ad24238,,Cephalexin 250mg/5ml,Cephalexin 250mg/5ml,,,,,Misc,N/A,
957f2c7f-2472-4b15-9aaa-db060f0e42b1,,"Hepatitis B Vaccine 10ml ","Hepatitis B Vaccine 10ml ",,,,,Misc,N/A,
2985ca90-0536-4737-b69b-64c0e92cb03e,,"Hepatitis  B Vaccine 1ml ","Hepatitis  B Vaccine 1ml ",,,,,Misc,N/A,
91c10020-98ed-4043-b6a6-77b5c317dfe6,,"Lajvanti Panchang 10gm ","Lajvanti Panchang 10gm ",,,,,Misc,N/A,
2d1ac987-7910-4d1f-9b47-47864a52c117,,"Lajvanti Panchang 100gm ","Lajvanti Panchang 100gm ",,,,,Misc,N/A,
eba59267-6708-4b48-9394-72e1e898dbc5,,Beclomethasone Inhaler 50micrograms/dose,Beclomethasone Inhaler 50micrograms/dose,,,,,Misc,N/A,
f7b44382-2c32-4511-9142-91e378da2ab6,,"Beclomethasone Inhaler 100mcg/dose ","Beclomethasone Inhaler 100mcg/dose ",,,,,Misc,N/A,
51e27fed-e8ec-4391-bcaf-65576c14b757,,Beclomethasone Inhaler 200mcg/dose,Beclomethasone Inhaler 200mcg/dose,,,,,Misc,N/A,
92f25d17-5332-40d2-8e4f-81a9c30f5809,,"Beclomethasone Cream 0.025% ","Beclomethasone Cream 0.025% ",,,,,Misc,N/A,
