Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:17,Data class,Data type,Answers
78e78bec-f2b4-4d89-bd23-5016ee99a25f,,Date of discharge from hospital,,,,,,Question,Date,
037bcd04-5035-471d-88ba-8a73240f6e13,,Persistence of mood or psychotic symptoms,,,,,,Question,Text,
3d4ff566-efc4-49fc-9bab-9ddf36dcdd0b,,Emerging or new psychiatric symptoms?,,,,,,Question,Text,
142152BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,Compliance good,,,,,,Misc,N/A,
19ae1139-1ad3-4d31-add1-d59f4a1f48cb,,"ER General Notes, Non Compliance",Compliance poor,,,,,Misc,N/A,
f0b536b6-4908-43ad-95e8-ed087836cacc,,Compliance mixed,,,,,,Misc,N/A,
5ea03995-40de-4e62-b243-9af5e6478579,,Compliance with medications,,,,,,Question,Coded,"Compliance good ; 
ER General Notes, Non Compliance ;
Compliance mixed"
41437BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,Dry Eyes,Dry eye,,,,,Misc,N/A,
102323BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,Dry Mouth,"Dry Mouth (Dry mouth, unspecified)",,,,,Misc,N/A,
576e3dc5-83a1-4d5a-911d-ada45778ccba,,Increased Appetite,Increased Appetite,Increased Appetite,,,,Misc,N/A,
82ccc128-d568-4364-89aa-bf75caa3ab10,,Drowsiness,,Drowsiness,,,,Misc,N/A,
40476852-8e38-4461-8ed6-08ac3c28f1d4,,Blurred Vision,Blurred vision,Blurred Vision,,,,Misc,N/A,
2668BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,Weight gain,Weight gain,Weight Gain,,,,Misc,N/A,
e145a566-4e14-11e4-8a57-0800271c1b75,,"Psychosexual dysfunction., unspec.","Sedative, Hypnotic and/or Anxiolytic-Induced Sexual Dysfunction",Sexual Dysfunction,,,,Misc,N/A,
1e233bb7-4e15-11e4-8a57-0800271c1b75,,Constipation,Constipation,Constipation,,,,Misc,N/A,
212d295f-4e15-11e4-8a57-0800271c1b75,,Palpitations,"Palpitations
",Palpitations,,,,Misc,N/A,
7aba59e1-ed2d-4968-9e09-1ba177ed4f4f,,Dizziness,Dizziness,Dizziness,,,,Misc,N/A,
e4ec4d56-4e14-11e4-8a57-0800271c1b75,,"Hypotension,Orthostatic","Hypotension,Orthostatic","Hypotension,Orthostatic",,,,Misc,N/A,
33ead84c-9395-408d-ad59-763a79108c66,,Weakness,Lethargy,Feeling lethargic or Slowed down,,,,Misc,N/A,
33537BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,Muscle Rigidity,Rigidity,,,,,Misc,N/A,
17165BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,Rubral Tremors,Tremors,,,,,Misc,N/A,
e353f85f-4e14-11e4-8a57-0800271c1b75,,Restless legs syndrome,Restless Legs Syndrome,Motor Restlessness,,,,Diagnosis,N/A,
85987BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,Tardive Dyskinesia,Tardive Dyskinesia,,,,,Diagnosis,N/A,
