Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:50,Data class,Data type,Answers
50b34dcc-59dc-4113-b05b-00aa9dfcbfe8,,Medilife(0322397351),,,,,,Misc,N/A,
db7e07dc-3221-499f-a8c3-cfa407f2beb2,,Abrafi Hospital Pharmacy,,,,,,Misc,N/A,
2f81df85-0784-4916-a2c3-d10328f6269f,,Pharmacy 1,,,,,,Misc,N/A,
6aa7bf3e-23fd-4fd2-8e31-26ed7342cd67,,Pharmacy 2,,,,,,Misc,N/A,
964d7857-b731-4700-903b-6ce93966cc2e,,Pharmacy 3,,,,,,Misc,N/A,
707343fa-b524-4b22-88c2-406f40052c2b,,preferredPharmacy,Preferred Pharmacy,,,,,Question,Coded,Medilife(0322397351)  ;Abrafi Hospital Pharmacy ; Pharmacy 1 ; Pharmacy 2 ; Pharmacy 3
5eb37d34-7c55-4a94-8b84-da49097f5cbb,,Abrafi Hospital Lab,,,,,,Misc,N/A,
54b686bf-4cc6-49ed-8533-1582e9cb3773,,Holy Family Hosp. Lab,,,,,,Misc,N/A,
f3839135-3b7a-4a32-a726-dff579fb0e45,,Mount Olives Lab,,,,,,Misc,N/A,
"3aa5185f-906d-4736-8a6b-40bde368f05b ",,Preferred Lab 1,,,,,,Misc,N/A,
ca809d3e-972d-45ae-a1fe-31fc0d696ecf,,Preferred Lab 2,,,,,,Misc,N/A,
05c210b6-37b3-4ed2-9734-2a937d385877,,Preferred Lab 3,,,,,,Misc,N/A,
b0563204-c306-40fd-8592-00501af3b478,,preferredlaboratory,Preferred Laboratory,,,,,Question,coded,"Abrafi Hospital Lab ; Holy Family Hosp. Lab ; Mount Olives Lab ; Preferred Lab 2 ; Preferred Lab 2 ; Preferred Lab 3 "
d12d6c6d-23d9-4164-9234-13154efe545a,,Private,,,,,,Misc,N/A,
8d00038c-9cff-45d0-aec9-6e8a5f0ad7fa,,Corporate,,,,,,Misc,N/A,
c4a55506-c68e-47a9-8cac-611f374c129c,,NHIA,,,,,,Misc,N/A,
00a621f6-1390-4fb7-a4df-6bdd27df7ac3,,Multiple,,,,,,Misc,N/A,
dfb94609-108e-4dd3-9844-42826d42913a,,paymentCategory,Payment Category,,,,,Question,Coded,Private ; Corporate ; NHIA ; Multiple
be182042-d1cf-4ffc-8f1b-feb654b03508,,Account status - Not Applicable,Not Applicable,,,,,Misc,N/A,
226cc963-2c68-48c4-8b24-0e8d25d4ad27,,Green(Up to Date),,,,,,Misc,N/A,
7291e382-a741-40f8-b750-b1f8fed68cdb,,Yellow(Small Arrears),Yellow(Small Arrears),,,,,Misc,N/A,
695cc725-84e0-4a94-933d-9f8af16a3ed0,,Red(Massive Arrears),Red(Massive Arrears),,,,,Misc,N/A,
3dce4593-b110-42bc-b3a3-b1f136bc27ee,,accountStatus,Account Status,,,,,Question,Coded,Account status - Not Applicable ; Green(Up to Date) ; Yellow(Small Arrears) ; Red(Massive Arrears)
"98fe61eb-ef45-4871-93cf-790f5136ba95 ",,Not Educated,Uneducated,,,,,Misc,N/A,
e6b17988-af6f-41d1-8ddf-685d42ea748b,,Primary Level,Primary level,,,,,Misc,N/A,
cc59e698-3c40-4a85-9b11-f99dc55bb208,,JHS Level,JHS Level,,,,,Misc,N/A,
cc5c6637-3b88-40be-9b3d-8a561bea2e44,,SHS Level,SHS Level,,,,,Misc,N/A,
10a466ff-a301-4f13-876c-b2e9ac2c0a26,,Tertiary - Graduate,Tertiary - Graduate,,,,,Misc,N/A,
