Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:18,Data class,Data type,Answers
1f6be191-7cb5-4526-a2c5-cdf6af43f8cf,,Risk of DSH/Overdose,Risk of DSH/ OD,,,,,Question,Coded,Low Risk ; Moderate Risk ; High Risk
4d1df00b-3851-4d06-b5df-d648b23efa40,,Risk of suicide,,,,,,Question,Coded,Low Risk ; Moderate Risk ; High Risk
996096a5-8eca-428f-8e35-38113f5b57e8,,"
Risk of self-neglect",,,,,,Question,Coded,Low Risk ; Moderate Risk ; High Risk
2c64bf0f-1d3c-43cf-ad7b-0f3e021bcea4,,"
Risk of accidental injury",,,,,,Question,Coded,Low Risk ; Moderate Risk ; High Risk
2004746e-b4fa-45ec-978a-03b84a8964de,,Risk of violence/Aggression,,,,,,Question,Coded,Low Risk ; Moderate Risk ; High Risk
1a2da072-dcf7-48b2-a6bb-3dd609979fdf,,Risk of sexual/financial exploitation,,,,,,Question,Coded,Low Risk ; Moderate Risk ; High Risk
4beae85e-0e10-48c6-bc5b-03281d92de93,,Overall assessment of risk,,,,,,Question,Coded,Low Risk ; Moderate Risk ; High Risk
b9c9f553-f173-482a-aea3-518270186235,,Additional comment on risk,,,,,,Question,Text,
1f4ac5f6-850d-43dc-b616-cf67fd36969e,,"
Recommendations based on risk assessment",,,,,,Question,Text,
a8597c9a-d942-478f-a3dd-864ce6826774,,"Mental Health, Risk Assessment",Risk Assessment,,,,,Misc,N/A,
