Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:10,Data class,Data type,Answers
d207ca7d-71d1-42ee-8e23-e10be415efe0,,Date/Time of Serious Incident,,,,,,Question,Datetime,
a726539b-569e-4802-8700-a87de011c8c9,"",During Phonecall,"","","","","",Misc,N/A,""
2351988f-a168-4edc-bf01-7f2b6b8b6487,"",Outpatients Dept.,"","","","","",Misc,N/A,""
215e386d-ea4e-41a6-a35f-6ff4a3cce4ab,"",Inpatient Ward/Office,"","","","","",Misc,N/A,""
cc716994-76e0-4085-9e51-4cb8cf7647d5,"",Patient's Home,"","","","","",Misc,N/A,""
5adc3b8b-d993-496c-baf8-7680d3dbcc69,"",Outside Patient's Home,"","","","","",Misc,N/A,""
5273b2b5-f884-48e1-889d-c79a62b2e8a8,"",Place of Serious Incident,"","","","","",Question,Coded,"During Phonecall ; Outpatients Dept. ;  Inpatient Ward/Office ; Patient's Home ; Outside Patient's Home "
ae103617-0c3e-45bf-8334-948cd9e303a0,"",Does incident involve a staff?,"","","","","",Question,Boolean,""
7c1627b1-37ec-4192-af25-533eadec5528,"",Details of Serious Incident (Please attach document),"",Please attach scanned hard copy of incident report,"","","",Question,Text,""
6dc7a3ce-32d1-4960-9acb-795fd0678f31,"",No Further Action,"","","","","",Misc,N/A,""
73794599-1483-4b2a-a21c-769986c2583a,"",Reported to Admin,"","","","","",Misc,N/A,""
e027c4ed-ce96-48d7-a853-fa12594d931e,"",Reported to Police,"","","","","",Misc,N/A,""
73bc1944-bbf4-4df2-baac-fadf7837001f,"",Other Action taken(Specify),"",Other action taken,"","","",Misc,N/A,""
be333f1b-a84e-4677-8cfe-db4f584942e0,"",Action Taken Following Incident,"","","","","",Question,Coded,No Further Action ; Reported to Admin ; Reported to Police ; Other Action taken(Specify)
df7fd0da-fb2d-42bc-8472-ba22ba280239,"",Other Action Taken (Please specify),"","","","","",Question,Text,""
84e34685-36ea-4306-8b23-a308c9bd4e4e,"",Risk assessment done and documented?,"","","","","",Question,Boolean,""
95a06389-5905-44bf-9134-3166c486b103,"",Serious Incident Report,"","","","","",Misc,N/A,""
